antecedent,consequent,pair_orders,support,confidence,lift,antecedent_orders,consequent_orders,eligible_orders
Dresses,Suits,54,0.0005763319672131147,0.013190034196384953,1.5967098760523057,4094,774,93696
Suits,Dresses,54,0.0005763319672131147,0.06976744186046512,1.5967098760523055,774,4094,93696
Suits,Socks & Hosiery,36,0.00038422131147540983,0.046511627906976744,1.544278344568424,774,2822,93696
Socks & Hosiery,Suits,36,0.00038422131147540983,0.012756909992912827,1.544278344568424,2822,774,93696
Maternity,Suits,47,0.0005016222677595629,0.012509981368112856,1.5143865817399254,3757,774,93696
Suits,Maternity,47,0.0005016222677595629,0.060723514211886306,1.5143865817399254,774,3757,93696
Jumpsuits & Rompers,Pants & Capris,28,0.00029883879781420766,0.04046242774566474,1.5032385527588437,692,2522,93696
Pants & Capris,Jumpsuits & Rompers,28,0.00029883879781420766,0.011102299762093577,1.5032385527588434,2522,692,93696
Leggings,Plus,113,0.001206028005464481,0.049366535605067714,1.4591315205212696,2289,3170,93696
Plus,Leggings,113,0.001206028005464481,0.03564668769716088,1.4591315205212694,3170,2289,93696
Pants & Capris,Plus,124,0.0013234289617486338,0.04916732751784298,1.453243507606251,2522,3170,93696
Plus,Pants & Capris,124,0.0013234289617486338,0.039116719242902206,1.453243507606251,3170,2522,93696
Suits,Leggings,27,0.00028816598360655737,0.03488372093023256,1.4279008808558626,774,2289,93696
Leggings,Suits,27,0.00028816598360655737,0.011795543905635648,1.4279008808558626,2289,774,93696
Plus,Dresses,193,0.002059853142076503,0.06088328075709779,1.3933854112889679,3170,4094,93696
Dresses,Plus,193,0.002059853142076503,0.047142159257449925,1.3933854112889679,4094,3170,93696
Socks & Hosiery,Plus,132,0.0014088114754098361,0.04677533664068037,1.382543199332867,2822,3170,93696
Plus,Socks & Hosiery,132,0.0014088114754098361,0.0416403785488959,1.3825431993328667,3170,2822,93696
Plus,Blazers & Jackets,110,0.00117400956284153,0.03470031545741325,1.3800003213488081,3170,2356,93696
Blazers & Jackets,Plus,110,0.00117400956284153,0.0466893039049236,1.3800003213488081,2356,3170,93696
Dresses,Blazers & Jackets,136,0.0014515027322404373,0.03321934538348803,1.3211034741304306,4094,2356,93696
Blazers & Jackets,Dresses,136,0.0014515027322404373,0.057724957555178265,1.3211034741304304,2356,4094,93696
Socks & Hosiery,Maternity,149,0.0015902493169398907,0.05279943302622254,1.3167675477308882,2822,3757,93696
Maternity,Socks & Hosiery,149,0.0015902493169398907,0.03965930263508118,1.3167675477308882,3757,2822,93696
Maternity,Leggings,120,0.0012807377049180327,0.03194037796113921,1.3074205563332892,3757,2289,93696
Leggings,Maternity,120,0.0012807377049180327,0.05242463958060288,1.3074205563332892,2289,3757,93696
Leggings,Intimates,294,0.0031378073770491803,0.12844036697247707,1.2945727865590804,2289,9296,93696
Intimates,Leggings,294,0.0031378073770491803,0.03162650602409638,1.2945727865590801,9296,2289,93696
Leggings,Blazers & Jackets,74,0.0007897882513661202,0.03232852774137178,1.2856764580881028,2289,2356,93696
Blazers & Jackets,Leggings,74,0.0007897882513661202,0.031409168081494056,1.2856764580881026,2356,2289,93696
Socks,Underwear,334,0.0035647199453551913,0.07350352112676056,1.2765497526400293,4544,5395,93696
Underwear,Socks,334,0.0035647199453551913,0.06190917516218721,1.2765497526400293,5395,4544,93696
Suits & Sport Coats,Underwear,269,0.0028709870218579236,0.07311769502582223,1.269849036726495,3679,5395,93696
Underwear,Suits & Sport Coats,269,0.0028709870218579236,0.04986098239110287,1.2698490367264947,5395,3679,93696
Jumpsuits & Rompers,Maternity,35,0.00037354849726775954,0.05057803468208093,1.261367989771694,692,3757,93696
Maternity,Jumpsuits & Rompers,35,0.00037354849726775954,0.009315943571998934,1.2613679897716938,3757,692,93696
Intimates,Pants & Capris,315,0.003361936475409836,0.0338855421686747,1.258897604693158,9296,2522,93696
Pants & Capris,Intimates,315,0.003361936475409836,0.12490087232355274,1.258897604693158,2522,9296,93696
Intimates,Skirts,188,0.0020064890710382514,0.020223752151462996,1.2499239324429268,9296,1516,93696
Skirts,Intimates,188,0.0020064890710382514,0.12401055408970976,1.2499239324429265,1516,9296,93696
Leggings,Pants & Capris,77,0.0008218066939890711,0.03363914373088685,1.249743541240751,2289,2522,93696
Pants & Capris,Leggings,77,0.0008218066939890711,0.030531324345757335,1.249743541240751,2522,2289,93696
Dresses,Socks & Hosiery,154,0.0016436133879781422,0.03761602344894968,1.2489266240513073,4094,2822,93696
Socks & Hosiery,Dresses,154,0.0016436133879781422,0.05457122608079376,1.2489266240513073,2822,4094,93696
Intimates,Suits,95,0.001013917349726776,0.010219449225473323,1.237107900038693,9296,774,93696
Suits,Intimates,95,0.001013917349726776,0.1227390180878553,1.2371079000386929,774,9296,93696
Socks & Hosiery,Leggings,85,0.0009071892076502733,0.030120481927710843,1.2329264633896002,2822,2289,93696
Leggings,Socks & Hosiery,85,0.0009071892076502733,0.03713411970292704,1.2329264633896002,2289,2822,93696
Suits & Sport Coats,Pants,252,0.002689549180327869,0.06849687415058439,1.2304223773798226,3679,5216,93696
Pants,Suits & Sport Coats,252,0.002689549180327869,0.04831288343558282,1.2304223773798226,5216,3679,93696
Intimates,Jumpsuits & Rompers,84,0.000896516393442623,0.009036144578313253,1.2234835294936972,9296,692,93696
Jumpsuits & Rompers,Intimates,84,0.000896516393442623,0.12138728323699421,1.2234835294936972,692,9296,93696
Pants,Underwear,367,0.00391692281420765,0.07036042944785276,1.2219630764682137,5216,5395,93696
Underwear,Pants,367,0.00391692281420765,0.06802594995366079,1.2219630764682134,5395,5216,93696
Plus,Intimates,382,0.0040770150273224046,0.12050473186119874,1.2145881407559032,3170,9296,93696
Intimates,Plus,382,0.0040770150273224046,0.041092943201376936,1.2145881407559032,9296,3170,93696
Socks & Hosiery,Intimates,340,0.003628756830601093,0.12048192771084337,1.2143582937602388,2822,9296,93696
Intimates,Socks & Hosiery,340,0.003628756830601093,0.03657487091222031,1.2143582937602388,9296,2822,93696
Plus,Skirts,62,0.0006617144808743169,0.019558359621451103,1.2087995139125876,3170,1516,93696
Skirts,Plus,62,0.0006617144808743169,0.040897097625329816,1.2087995139125876,1516,3170,93696
Suits,Pants & Capris,25,0.00026682035519125686,0.03229974160206718,1.1999827871321518,774,2522,93696
Pants & Capris,Suits,25,0.00026682035519125686,0.009912767644726407,1.1999827871321518,2522,774,93696
Maternity,Intimates,446,0.004760075136612022,0.11871173808890072,1.1965162448340836,3757,9296,93696
Intimates,Maternity,446,0.004760075136612022,0.0479776247848537,1.1965162448340836,9296,3757,93696
Dresses,Skirts,79,0.0008431523224043715,0.019296531509526135,1.1926172930848027,4094,1516,93696
Skirts,Dresses,79,0.0008431523224043715,0.052110817941952506,1.1926172930848025,1516,4094,93696
Dresses,Intimates,476,0.00508025956284153,0.1162677088422081,1.1718824491909994,4094,9296,93696
Intimates,Dresses,476,0.00508025956284153,0.05120481927710843,1.1718824491909994,9296,4094,93696
Pants & Capris,Socks & Hosiery,88,0.000939207650273224,0.034892942109436956,1.158514919874488,2522,2822,93696
Socks & Hosiery,Pants & Capris,88,0.000939207650273224,0.03118355776045358,1.158514919874488,2822,2522,93696
Jumpsuits & Rompers,Plus,27,0.00028816598360655737,0.03901734104046243,1.1532393647088857,692,3170,93696
Plus,Jumpsuits & Rompers,27,0.00028816598360655737,0.008517350157728707,1.1532393647088857,3170,692,93696
Maternity,Skirts,70,0.0007470969945355191,0.01863188714399787,1.1515391146728393,3757,1516,93696
Skirts,Maternity,70,0.0007470969945355191,0.04617414248021108,1.1515391146728393,1516,3757,93696
Intimates,Blazers & Jackets,268,0.0028603142076502734,0.02882960413080895,1.1465274145332238,9296,2356,93696
Blazers & Jackets,Intimates,268,0.0028603142076502734,0.11375212224108659,1.1465274145332238,2356,9296,93696
Plus,Maternity,145,0.0015475580601092896,0.04574132492113565,1.1407450571761313,3170,3757,93696
Maternity,Plus,145,0.0015475580601092896,0.038594623369709875,1.1407450571761313,3757,3170,93696
Blazers & Jackets,Pants & Capris,72,0.0007684426229508197,0.030560271646859084,1.1353589263378703,2356,2522,93696
Pants & Capris,Blazers & Jackets,72,0.0007684426229508197,0.028548770816812053,1.1353589263378703,2522,2356,93696
Dresses,Pants & Capris,125,0.0013341017759562841,0.03053248656570591,1.134326669809826,4094,2522,93696
Pants & Capris,Dresses,125,0.0013341017759562841,0.049563838223632035,1.1343266698098258,2522,4094,93696
Dresses,Maternity,185,0.0019744706284153006,0.04518808011724475,1.1269476589473952,4094,3757,93696
Maternity,Dresses,185,0.0019744706284153006,0.04924141602342295,1.1269476589473952,3757,4094,93696
Leggings,Dresses,111,0.0011846823770491803,0.04849279161205767,1.109814509741904,2289,4094,93696
Dresses,Leggings,111,0.0011846823770491803,0.02711284807034685,1.1098145097419039,4094,2289,93696
Maternity,Pants & Capris,112,0.0011953551912568306,0.029811019430396594,1.1075231072761456,3757,2522,93696
Pants & Capris,Maternity,112,0.0011953551912568306,0.04440919904837431,1.1075231072761456,2522,3757,93696
Leggings,Skirts,41,0.0004375853825136612,0.017911751856705984,1.1070313337506095,2289,1516,93696
Skirts,Leggings,41,0.0004375853825136612,0.02704485488126649,1.1070313337506095,1516,2289,93696
Socks,Pants,272,0.0029030054644808745,0.05985915492957746,1.075261384256459,4544,5216,93696
Pants,Socks,272,0.0029030054644808745,0.05214723926380368,1.075261384256459,5216,4544,93696
Blazers & Jackets,Socks & Hosiery,76,0.0008111338797814208,0.03225806451612903,1.071031755103907,2356,2822,93696
Socks & Hosiery,Blazers & Jackets,76,0.0008111338797814208,0.026931254429482635,1.071031755103907,2822,2356,93696
Maternity,Blazers & Jackets,100,0.0010672814207650274,0.026616981634282673,1.0585334088309633,3757,2356,93696
Blazers & Jackets,Maternity,100,0.0010672814207650274,0.042444821731748725,1.0585334088309633,2356,3757,93696
Socks & Hosiery,Skirts,48,0.0005122950819672131,0.01700921332388377,1.0512501659595077,2822,1516,93696
Skirts,Socks & Hosiery,48,0.0005122950819672131,0.0316622691292876,1.0512501659595077,1516,2822,93696
Suits & Sport Coats,Socks,185,0.0019744706284153006,0.0502854036422941,1.03687085820167,3679,4544,93696
Socks,Suits & Sport Coats,185,0.0019744706284153006,0.040713028169014086,1.03687085820167,4544,3679,93696
Skirts,Blazers & Jackets,38,0.0004055669398907104,0.025065963060686015,0.9968507958124097,1516,2356,93696
Blazers & Jackets,Skirts,38,0.0004055669398907104,0.016129032258064516,0.9968507958124097,2356,1516,93696
Jumpsuits & Rompers,Dresses,28,0.00029883879781420766,0.04046242774566474,0.9260301978646319,692,4094,93696
Dresses,Jumpsuits & Rompers,28,0.00029883879781420766,0.006839276990718124,0.9260301978646319,4094,692,93696
Pants & Capris,Skirts,37,0.0003948941256830601,0.014670896114195083,0.9067310569364265,2522,1516,93696
Skirts,Pants & Capris,37,0.0003948941256830601,0.024406332453825858,0.9067310569364265,1516,2522,93696
Suits & Sport Coats,Tops & Tees,293,0.00312713456284153,0.07964120684968741,0.8656685054510802,3679,8620,93696
Tops & Tees,Suits & Sport Coats,293,0.00312713456284153,0.0339907192575406,0.8656685054510802,8620,3679,93696
Suits & Sport Coats,Outerwear & Coats,207,0.0022092725409836064,0.056265289480837186,0.811175959870214,3679,6499,93696
Outerwear & Coats,Suits & Sport Coats,207,0.0022092725409836064,0.03185105400830897,0.8111759598702138,6499,3679,93696
Suits & Sport Coats,Sweaters,249,0.002657530737704918,0.06768143517260125,0.7926849687415058,3679,8000,93696
Sweaters,Suits & Sport Coats,249,0.002657530737704918,0.031125,0.7926849687415057,8000,3679,93696
Sweaters,Underwear,364,0.0038849043715846994,0.0455,0.7902072289156626,8000,5395,93696
Underwear,Sweaters,364,0.0038849043715846994,0.06746987951807229,0.7902072289156626,5395,8000,93696
Active,Suits & Sport Coats,201,0.002145235655737705,0.030913565056905568,0.7873001879782071,6502,3679,93696
Suits & Sport Coats,Active,201,0.002145235655737705,0.05463441152487089,0.7873001879782071,3679,6502,93696
Jeans,Socks,352,0.003756830601092896,0.037655113393239195,0.7764378310943969,9348,4544,93696
Socks,Jeans,352,0.003756830601092896,0.07746478873239436,0.7764378310943969,4544,9348,93696
Tops & Tees,Pants,372,0.003970286885245902,0.0431554524361949,0.7752095995900531,8620,5216,93696
Pants,Tops & Tees,372,0.003970286885245902,0.07131901840490798,0.7752095995900531,5216,8620,93696
Outerwear & Coats,Socks,241,0.0025721482240437157,0.03708262809663025,0.7646333455417844,6499,4544,93696
Socks,Outerwear & Coats,241,0.0025721482240437157,0.053036971830985914,0.7646333455417843,4544,6499,93696
Underwear,Tops & Tees,377,0.004023650956284153,0.06987951807228916,0.7595627987588405,5395,8620,93696
Tops & Tees,Underwear,377,0.004023650956284153,0.04373549883990719,0.7595627987588405,8620,5395,93696
Pants,Sweaters,335,0.0035753927595628416,0.06422546012269939,0.7522085889570553,5216,8000,93696
Sweaters,Pants,335,0.0035753927595628416,0.041875,0.7522085889570552,8000,5216,93696
Pants,Jeans,391,0.004173070355191257,0.07496165644171779,0.7513486694440725,5216,9348,93696
Jeans,Pants,391,0.004173070355191257,0.041827128797603766,0.7513486694440725,9348,5216,93696
Socks,Tops & Tees,310,0.003308572404371585,0.0682218309859155,0.7415443939740531,4544,8620,93696
Tops & Tees,Socks,310,0.003308572404371585,0.03596287703016241,0.7415443939740531,8620,4544,93696
Jeans,Underwear,399,0.004258452868852459,0.042682926829268296,0.7412825787201339,9348,5395,93696
Underwear,Jeans,399,0.004258452868852459,0.07395736793327155,0.7412825787201339,5395,9348,93696
Outerwear & Coats,Underwear,277,0.0029563695355191255,0.042621941837205725,0.7402234406633601,6499,5395,93696
Underwear,Outerwear & Coats,277,0.0029563695355191255,0.05134383688600556,0.74022344066336,5395,6499,93696
Pants,Swim,335,0.0035753927595628416,0.06422546012269939,0.7348478094585958,5216,8189,93696
Swim,Pants,335,0.0035753927595628416,0.040908535840762,0.7348478094585958,8189,5216,93696
Active,Socks,227,0.002422728825136612,0.03491233466625654,0.7198825063577405,6502,4544,93696
Socks,Active,227,0.002422728825136612,0.04995598591549296,0.7198825063577404,4544,6502,93696
Jeans,Suits & Sport Coats,264,0.0028176229508196722,0.028241335044929396,0.7192443947729559,9348,3679,93696
Suits & Sport Coats,Jeans,264,0.0028176229508196722,0.07175863006251698,0.7192443947729559,3679,9348,93696
Swim,Underwear,338,0.0036074112021857925,0.04127488093784345,0.7168287755981798,8189,5395,93696
