feature,coefficient,absolute_coefficient
categorical__country_infrequent_sklearn,0.8219449528660048,0.8219449528660048
categorical__brand_group_Metal Mulisha,-0.7350350576925755,0.7350350576925755
categorical__country_Poland,-0.6495858008501227,0.6495858008501227
categorical__brand_group_AG Adriano Goldschmied,0.5817976817626559,0.5817976817626559
categorical__brand_group_Ralph Lauren,-0.564684110421988,0.564684110421988
categorical__brand_group_Tri-Mountain,0.558212118616096,0.558212118616096
categorical__brand_group_Alexander Del Rossa,-0.5536761306305221,0.5536761306305221
categorical__brand_group_Patty,-0.5159039007388873,0.5159039007388873
categorical__brand_group_A:X Armani Exchange,-0.503382479380739,0.503382479380739
categorical__brand_group_Nike,-0.46715288725969584,0.46715288725969584
categorical__brand_group_Sutton Studio,-0.43592407841481035,0.43592407841481035
categorical__brand_group_Diesel,0.42619419769266614,0.42619419769266614
categorical__brand_group_Van Heusen,0.4236303183280611,0.4236303183280611
categorical__brand_group_Ed Hardy,0.38808763239782823,0.38808763239782823
categorical__brand_group_Perry Ellis,0.38640996624373314,0.38640996624373314
categorical__brand_group_Jones New York,-0.37899377582661736,0.37899377582661736
categorical__brand_group_U.S. Polo Assn.,-0.35989210055198756,0.35989210055198756
categorical__brand_group_Calvin Klein,0.3586974841878194,0.3586974841878194
categorical__brand_group_Kenneth Cole REACTION,-0.3475119279284615,0.3475119279284615
categorical__brand_group_DC,0.341479941509025,0.341479941509025
categorical__brand_group_Pendleton,0.335250629340897,0.335250629340897
categorical__brand_group_Vanity Fair,0.33347437052155415,0.33347437052155415
categorical__brand_group_Duofold,0.327193295670351,0.327193295670351
categorical__brand_group_Bali,-0.32575930525784336,0.32575930525784336
categorical__brand_group_Ed Garments,0.32519989505972546,0.32519989505972546
categorical__brand_group_Hanro,0.32508720838639826,0.32508720838639826
categorical__brand_group_IZOD,-0.32102492076290695,0.32102492076290695
categorical__category_Clothing Sets,0.31849608473733837,0.31849608473733837
categorical__brand_group_G-Star,0.3175147693223162,0.3175147693223162
categorical__brand_group_Original Penguin,-0.3054755427457256,0.3054755427457256
categorical__brand_group_2(x)ist,-0.3029326339361716,0.3029326339361716
categorical__brand_group_Eddie Bauer,0.30105012981625184,0.30105012981625184
categorical__brand_group_Polo Ralph Lauren,-0.2753019304961763,0.2753019304961763
categorical__brand_group_Silver Jeans,-0.27097359361826795,0.27097359361826795
categorical__brand_group_Haggar,0.26614925124212974,0.26614925124212974
categorical__brand_group_Tommy Bahama,-0.26324786726449206,0.26324786726449206
categorical__brand_group_Lee,0.2244501665763212,0.2244501665763212
categorical__brand_group_7 For All Mankind,-0.21169152245894665,0.21169152245894665
categorical__brand_group_O'Neill,0.21121830263659624,0.21121830263659624
categorical__brand_group_Columbia,0.20985944861130676,0.20985944861130676
categorical__brand_group_Nautica,-0.20913233574696302,0.20913233574696302
categorical__brand_group_Levi's,-0.2021396953197753,0.2021396953197753
categorical__category_Jumpsuits & Rompers,0.20196937301180073,0.20196937301180073
categorical__brand_group_Woolrich,0.1987025412811571,0.1987025412811571
categorical__brand_group_Motherhood Maternity,-0.19706939958013797,0.19706939958013797
categorical__brand_group_Anna-Kaci,-0.19250022133313174,0.19250022133313174
categorical__brand_group_Southpole,-0.1915192873720497,0.1915192873720497
categorical__brand_group_LRG,0.1858268190054188,0.1858268190054188
categorical__category_Pants & Capris,0.18554638923890027,0.18554638923890027
categorical__category_Socks & Hosiery,-0.17666349624876967,0.17666349624876967
categorical__brand_group_Billabong,-0.1746651266771366,0.1746651266771366
categorical__brand_group_Bottoms Out,0.16720312490635447,0.16720312490635447
categorical__brand_group_Wrangler,0.16420810243408224,0.16420810243408224
categorical__brand_group_Oakley,0.16294926829221143,0.16294926829221143
categorical__country_Australia,0.16208496159575633,0.16208496159575633
categorical__brand_group_Icebreaker,0.15954104354273063,0.15954104354273063
categorical__brand_group_Gold Toe,0.14350607642139446,0.14350607642139446
categorical__brand_group_Tommy Hilfiger,0.1420531898220536,0.1420531898220536
