risk_decile,items,returned_items,avg_predicted_probability,observed_return_rate,lift_vs_baseline
10,3878,1112,0.5813637632318206,0.28674574522949975,0.9945306813076102
9,3877,1109,0.5426791402204246,0.2860459117874645,0.9921034235662545
8,3878,1114,0.5247295650584904,0.28726147498710675,0.9963194055545663
7,3877,1163,0.5112375063835687,0.299974206860975,1.0404114351736284
6,3878,1092,0.4994602016040802,0.2815884476534296,0.9766434388380489
5,3877,1122,0.4877628043439945,0.28939901986071703,1.003733130064326
4,3878,1135,0.4757578129375896,0.2926766374419804,1.015101010147606
3,3877,1108,0.4619762845243122,0.2857879803972143,0.9912088307587105
2,3878,1148,0.4428925903707234,0.296028880866426,1.0267277177528207
1,3878,1077,0.39485063395945363,0.277720474471377,0.9632280069858778
