segment_type,segment_value,sessions,cart_sessions,abandoned_cart_sessions,purchase_sessions,cart_abandonment_rate,session_conversion_rate
Traffic Source,Organic,33753,21326,12415,8911,0.5821532401763106,0.2640061624151927
Traffic Source,YouTube,68524,43385,25213,18172,0.5811455572202374,0.26519175763236236
Traffic Source,Adwords,203690,128650,74578,54072,0.5796968519238244,0.26546222200402575
Traffic Source,Facebook,68518,43551,25208,18343,0.5788156414318845,0.267710674567267
Traffic Source,Email,306377,193702,112338,81364,0.5799527108651433,0.2655682378246409
Browser,Safari,136744,86334,50224,36110,0.5817406815391387,0.26407008717018665
Browser,IE,33459,21124,12174,8950,0.5763113046771445,0.2674915568307481
Browser,Other,34055,21597,12551,9046,0.5811455294716859,0.26562912934958155
Browser,Chrome,340086,215240,124716,90524,0.5794276156848169,0.2661797310092153
Browser,Firefox,136518,86319,50087,36232,0.580254636870214,0.2654008995150823
Country,United Kingdom,8453,8453,0,8453,0.0,1.0
Country,Japan,4508,4508,0,4508,0.0,1.0
Country,Spain,7416,7416,0,7416,0.0,1.0
Country,Brasil,26098,26098,0,26098,0.0,1.0
Country,South Korea,9573,9573,0,9573,0.0,1.0
Country,France,8440,8440,0,8440,0.0,1.0
Country,Unknown,500000,249752,249752,0,1.0,0.0
Country,China,61433,61433,0,61433,0.0,1.0
Country,Germany,7826,7826,0,7826,0.0,1.0
Country,United States,40376,40376,0,40376,0.0,1.0
Country,Belgium,2268,2268,0,2268,0.0,1.0
Country,Australia,3992,3992,0,3992,0.0,1.0
