cohort_month,months_since_first_order,cohort_size,active_customers,retention_rate
2022-08-01,2,1215,27,0.022222222222222223
2019-03-01,34,63,2,0.031746031746031744
2022-02-01,19,902,13,0.014412416851441241
2021-07-01,1,763,28,0.03669724770642202
2022-03-01,22,1034,16,0.015473887814313346
2020-04-01,23,385,8,0.02077922077922078
2020-03-01,0,346,346,1.0
2023-11-01,0,2131,2131,1.0
2022-03-01,0,1034,1034,1.0
2023-02-01,13,1324,33,0.024924471299093656
2022-04-01,9,1049,23,0.0219256434699714
2023-04-01,4,1575,37,0.02349206349206349
2021-10-01,11,860,21,0.02441860465116279
2022-04-01,24,1049,19,0.01811248808388942
2021-05-01,30,685,14,0.020437956204379562
2024-05-01,0,3012,3012,1.0
2022-08-01,13,1215,27,0.022222222222222223
2020-11-01,40,543,4,0.007366482504604052
2023-05-01,11,1666,42,0.025210084033613446
2023-12-01,4,2436,149,0.06116584564860427
2022-07-01,0,1132,1132,1.0
2023-02-01,1,1324,52,0.03927492447129909
2020-06-01,1,425,19,0.04470588235294118
2020-03-01,44,346,3,0.008670520231213872
2022-09-01,10,1170,26,0.022222222222222223
2020-07-01,22,466,11,0.023605150214592276
2023-04-01,3,1575,55,0.03492063492063492
2020-06-01,9,425,9,0.021176470588235293
2019-10-01,52,227,2,0.00881057268722467
2020-02-01,0,300,300,1.0
2022-08-01,4,1215,27,0.022222222222222223
2023-08-01,2,2010,83,0.04129353233830846
2019-08-01,0,157,157,1.0
2023-07-01,9,1802,62,0.03440621531631521
2022-02-01,20,902,22,0.024390243902439025
2024-01-01,2,2572,174,0.06765163297045101
2022-04-01,19,1049,20,0.019065776930409915
2020-08-01,32,469,9,0.019189765458422176
2020-03-01,29,346,7,0.02023121387283237
2023-07-01,0,1802,1802,1.0
2023-06-01,0,1667,1667,1.0
2022-12-01,1,1359,66,0.04856512141280353
2022-11-01,15,1312,32,0.024390243902439025
2022-05-01,22,1115,31,0.02780269058295964
2019-11-01,35,228,5,0.021929824561403508
2020-01-01,38,309,6,0.019417475728155338
2024-03-01,0,3071,3071,1.0
2022-05-01,13,1115,22,0.019730941704035873
2020-11-01,6,543,12,0.022099447513812154
2023-08-01,0,2010,2010,1.0
2021-02-01,0,545,545,1.0
2022-04-01,16,1049,25,0.023832221163012392
2023-01-01,13,1509,33,0.02186878727634195
2019-12-01,1,259,9,0.03474903474903475
2022-08-01,5,1215,29,0.023868312757201648
2021-02-01,37,545,13,0.023853211009174313
2023-01-01,14,1509,52,0.03445990722332671
2020-05-01,26,412,5,0.012135922330097087
2021-02-01,33,545,12,0.022018348623853212
2022-01-01,27,1027,21,0.02044790652385589
2021-01-01,0,632,632,1.0
2022-07-01,9,1132,34,0.030035335689045935
2020-04-01,3,385,4,0.01038961038961039
2022-05-01,5,1115,20,0.017937219730941704
2023-06-01,3,1667,59,0.03539292141571686
2021-11-01,9,859,21,0.024447031431897557
2020-07-01,24,466,3,0.006437768240343348
2020-07-01,15,466,9,0.019313304721030045
2024-02-01,1,2614,285,0.1090283091048202
2023-12-01,0,2436,2436,1.0
2020-06-01,10,425,11,0.02588235294117647
2024-01-01,1,2572,228,0.08864696734059098
2021-04-01,13,653,12,0.018376722817764167
2023-04-01,1,1575,89,0.05650793650793651
2021-09-01,0,797,797,1.0
2022-08-01,12,1215,23,0.018930041152263374
2020-09-01,0,453,453,1.0
2022-06-01,21,1143,22,0.019247594050743656
2021-01-01,27,632,13,0.020569620253164556
2024-03-01,1,3071,416,0.13546076196678605
2023-01-01,3,1509,34,0.02253147779986746
2022-10-01,4,1321,33,0.02498107494322483
2019-07-01,41,168,3,0.017857142857142856
2020-02-01,29,300,5,0.016666666666666666
2022-10-01,17,1321,31,0.023467070401211203
2022-08-01,7,1215,23,0.018930041152263374
2022-03-01,10,1034,17,0.01644100580270793
2022-08-01,6,1215,25,0.0205761316872428
2020-01-01,0,309,309,1.0
