country,orders,customers,items,net_sales_value,net_profit_value,average_order_value,observed_return_rate
Brasil,18144,11706,26098,1170130.541231431,606744.1926705398,64.49132171689986,0.279660069327966
Spain,5145,3269,7416,335188.4702041149,174025.72254406096,65.14839071022642,0.30452988199467074
South Korea,6638,4258,9573,425595.6504511833,220862.83435053815,64.1150422493497,0.2924841533353456
France,5843,3736,8440,382266.80044412613,198276.33188686782,65.42303618759647,0.2831345826235094
Poland,298,192,450,21169.519975423813,11026.390672556103,71.03865763565038,0.2857142857142857
China,42289,27184,61433,2744128.092810411,1425309.0126952173,64.88987899478377,0.2854710294997469
Germany,5367,3426,7826,353557.85036017373,184129.5403322518,65.8762530948712,0.2694394213381555
United Kingdom,5838,3779,8453,381532.3105125427,197317.65620726862,65.35325633993537,0.26648630368616844
Japan,3090,1972,4508,199996.8102157116,103546.38685930346,64.72388680120116,0.28952262864228145
Colombia,16,10,27,1345.9399979114532,690.0413291545415,84.12124986946583,0.15384615384615385
Deutschland,1,1,1,14.949999809265137,8.38694990324527,14.949999809265137,
United States,27860,17803,40376,1803753.0320011377,934612.9467632151,64.7434684853244,0.2883707825596957
Australia,2724,1770,3992,179205.8501648903,93271.00646498385,65.78775703556913,0.26967830253251196
Belgium,1560,988,2268,98645.6601486206,51546.56311755942,63.234397531167055,0.2686762778505898
España,1,1,1,0.0,0.0,0.0,
