department,category,distribution_center_name,inventory_units,sold_units,unsold_units,sell_through_rate,median_days_to_sell,p90_days_to_sell,aged_181_plus_units,unsold_inventory_cost,unsold_inventory_retail_value
Men,Swim,Los Angeles CA,3096,1157,1939,0.37370801033591733,30.0,54.0,1693,47697.638186925426,79331.6803779602
Women,Swim,Los Angeles CA,3045,1142,1903,0.37504105090311984,29.0,54.0,1713,60361.43462514861,144004.2494354248
Women,Accessories,Philadelphia PA,670,254,416,0.37910447761194027,29.0,54.70000000000002,368,6243.312761732469,15524.620101928711
Men,Accessories,Philadelphia PA,1517,567,950,0.37376400791034936,31.0,55.0,843,8099.395925973577,20288.25999355316
Men,Accessories,Houston TX,1909,708,1201,0.37087480356207436,30.0,54.0,1092,18865.689462433274,47218.580261707306
Women,Accessories,Houston TX,1445,536,909,0.37093425605536334,28.0,55.0,806,20792.01718453256,51659.83988213539
Women,Accessories,Charleston SC,744,272,472,0.3655913978494624,32.0,56.0,410,4602.929799102684,11296.589945554733
Men,Accessories,Charleston SC,386,144,242,0.37305699481865284,30.0,56.0,217,3640.447654787936,9304.089924812317
Men,Active,Charleston SC,1382,508,874,0.3675832127351664,30.0,53.0,775,13553.69247782863,32279.019941329956
Men,Active,Houston TX,1881,702,1179,0.37320574162679426,32.0,54.0,1038,27553.54971090517,65137.69955635071
Women,Active,Los Angeles CA,1015,377,638,0.37142857142857144,28.0,55.0,581,14511.66279614409,34839.21013355255
Men,Active,Philadelphia PA,1047,385,662,0.36771728748806115,31.0,55.0,583,13890.668267979912,32635.47988986969
Women,Jeans,Memphis TN,1329,488,841,0.3671933784800602,30.0,54.0,754,28168.491509904583,51911.93997955322
Men,Jeans,Los Angeles CA,2044,753,1291,0.3683953033268102,29.0,53.0,1139,57435.6828628037,108734.09983825684
Women,Jeans,Port Authority of New York/New Jersey NY/NJ,680,252,428,0.37058823529411766,34.0,54.0,391,32939.43638290979,60767.789991378784
Women,Jumpsuits & Rompers,Port Authority of New York/New Jersey NY/NJ,64,22,42,0.34375,37.0,52.900000000000006,38,1888.229608090335,3489.720016479492
Women,Jumpsuits & Rompers,Memphis TN,127,45,82,0.3543307086614173,29.0,54.2,73,2411.119897913561,4552.990021705627
Women,Leggings,Savannah GA,788,293,495,0.37182741116751267,31.0,53.0,437,14348.744062042133,23860.169891357422
Women,Leggings,New Orleans LA,641,232,409,0.3619344773790952,31.0,54.0,347,8200.12979392506,13495.00994682312
Women,Leggings,Chicago IL,1695,629,1066,0.3710914454277286,30.0,55.0,964,11917.852008600597,19919.759910583496
Women,Leggings,Mobile AL,235,86,149,0.3659574468085106,31.0,55.0,134,3410.50616236534,5635.270039558411
Women,Maternity,Port Authority of New York/New Jersey NY/NJ,708,251,457,0.3545197740112994,32.0,55.0,405,13156.657549305142,29060.800024986267
Women,Maternity,Memphis TN,1154,423,731,0.3665511265164645,32.0,53.0,653,15199.728136974207,34415.9400138855
