brand,categories,products,orders,items,net_sales_value,net_profit_value,net_margin_rate,observed_return_rate
UNIONBAY,7,40,262,262,6713.410026550293,3362.235472657132,0.5008237928802373,0.2727272727272727
Hanes,9,308,1953,1962,28976.07000398636,15050.3227511395,0.5194052453997027,0.27941176470588236
Kangol,2,15,119,119,3955.1500129699707,2310.0991621488092,0.5840737151747444,0.21428571428571427
Burnside,4,41,264,264,6315.240019321442,2938.350606430218,0.4652793238959011,0.3
Jackie's Boutique,1,1,10,10,378.0,232.46999938040972,0.6149999983608723,0.25
Maidenform,3,69,410,410,7418.759998321533,3526.887623732722,0.47540122938748086,0.2972972972972973
Dickies,15,166,1098,1103,33951.17014217377,17513.261606411732,0.5158367600607955,0.28254847645429365
b.tempt'd by Wacoal,1,15,92,92,1770.0,858.7380010378547,0.48516271245076537,0.2608695652173913
A:X Armani Exchange,13,65,389,389,25666.0,13051.152012524195,0.5084996498295097,0.19333333333333333
AGB,2,6,44,44,1639.9599952697754,870.0811984624966,0.530550257916119,0.23076923076923078
Cpanty,1,2,8,8,314.0,163.7279998138547,0.5214267509995373,0.3333333333333333
Carnival,2,15,74,74,2429.0,1107.0100005881395,0.45574722132076556,0.21875
Hurley,14,231,1449,1454,54819.43989562988,25785.756124851257,0.4703761325169405,0.2703252032520325
Levi's,10,258,1507,1513,58533.20090675354,28975.166637172657,0.4950210511010942,0.24863883847549909
COOL-JAMS WICKING SLEEPWEAR,1,4,27,27,953.0,450.7649991698563,0.47299580185714196,0.08333333333333333
Yala Designs,1,1,7,7,126.0,50.02199980895966,0.39699999848380685,0.0
Frederick's of Hollywood,2,47,259,259,7747.0,3603.491004984826,0.4651466380514813,0.313953488372093
Clever,2,11,74,74,1414.0,696.6379987766268,0.4926718520343895,0.2962962962962963
Metal Mulisha,6,55,349,349,13802.950031280518,6613.675298478522,0.47914940527137173,0.17647058823529413
Matix,7,31,210,210,8223.550025939941,4010.072810930952,0.48763281043853146,0.27710843373493976
Polo Ralph Lauren,15,64,462,463,23988.160039901733,11890.197346484645,0.4956694188594113,0.25
eloquii,7,25,149,150,5719.900051116943,3082.781837283765,0.5389572911648658,0.22033898305084745
LLLI,1,1,2,2,42.0,21.797999896109104,0.5189999975264072,
Kensie,9,25,139,139,6981.849969863892,3802.1788698109976,0.5445804315793855,0.24390243902439024
Playtex,2,41,239,239,7670.799999237061,3680.510342138777,0.47980788737874036,0.24175824175824176
Authentic Pigment,3,9,65,65,2233.9099502563477,1085.898053853711,0.48609750528623635,0.35714285714285715
Van Heusen,4,53,348,351,9518.460083007812,4276.202135882653,0.44925356608013245,0.3277310924369748
Quiksilver,12,257,1760,1776,78151.95005893707,35711.72197357705,0.4569524106134986,0.2857142857142857
UR,1,2,10,10,305.0,182.6600008457899,0.598885248674721,0.2857142857142857
Ripe Maternity,1,27,174,174,10012.0299949646,5535.964924038317,0.5529313163087354,0.26
Sprawl,1,1,5,5,212.5,85.84999972372316,0.4039999986998737,
Outdoor Research,4,33,210,210,16418.460065841675,9129.855512453325,0.5560725838988904,0.3181818181818182
Sofia by Vix,1,2,14,14,455.6100082397461,249.43596381665105,0.5474769195267449,0.3333333333333333
Wrangler,6,188,1323,1336,43049.24045944214,20145.834917258,0.467971901530712,0.30022075055187636
FineBrandShop,16,169,938,943,14445.54998922348,7875.049948519067,0.5451540408218399,0.27358490566037735
Harley-Davidson,8,71,456,459,13272.100107192993,6313.148503642198,0.4756706514156492,0.3128834355828221
JeansXL,3,5,36,36,1182.6000213623047,566.0646599950551,0.4786611278283022,0.21428571428571427
Match,1,10,67,67,2057.5200805664062,1059.629831010462,0.5150033970598046,0.2916666666666667
CINCH,1,1,7,7,214.95000839233398,98.44710396540314,0.4580000005662441,0.0
Alternative,10,46,308,308,11320.05013847351,5427.938139200971,0.4794977118301809,0.2702702702702703
Hot from Hollywood,9,72,454,454,12813.670454025269,7093.733784030979,0.5536066975877754,0.3416149068322981
Tommy Hilfiger,17,250,1607,1618,82067.65001964569,44870.38638413018,0.5467487660897921,0.3081081081081081
Vanity Fair,3,76,423,424,7607.860069274902,3579.1962149833234,0.47046031109828934,0.2903225806451613
Carhartt,16,388,2612,2637,136887.78904628754,72687.19860534172,0.5309984119968737,0.2988133764832794
Glamorise,3,31,199,199,6001.260164260864,2979.601662353625,0.49649599930660615,0.3108108108108108
Speedo,4,196,1240,1247,46480.95983505249,23667.952043649708,0.5091967146900674,0.28132387706855794
Lipo in a Box,1,7,51,51,998.0,481.1780009493232,0.4821422855203639,0.3333333333333333
Bella,10,66,357,358,7234.949995994568,3647.62810559416,0.5041677008982189,0.28125
Code V,2,3,17,17,430.36000823974604,185.18820396933253,0.43030997403031795,0.5
Donna Karan,3,5,25,25,569.6000022888184,282.17520092485023,0.49539185356563953,0.5
eight sixty,1,1,8,8,173.8800048828125,75.81168192421615,0.43599999882280827,0.6666666666666666
Lilo Maternity,1,9,54,54,1656.7100067138672,924.7671709118877,0.5581949569714922,0.2727272727272727
Private Label,2,10,60,60,1351.2899894714355,809.4787958902762,0.5990415101105783,0.21428571428571427
J America,1,2,17,17,539.4299812316895,229.48006159513662,0.42541213795933436,0.25
Calvin Klein Jeans,9,128,846,847,39110.19009876251,19532.25582228666,0.4994160287373464,0.31186440677966104
iCollection Lingerie,1,7,40,40,1039.230016708374,484.0607786657721,0.4657879111295993,0.14285714285714285
Darn Tough,3,24,154,154,3342.290050506592,1610.9870424459382,0.4820009688272747,0.34615384615384615
Lindy Bop,1,19,97,97,3509.2501258850098,1903.2082207214396,0.542340429564411,0.2692307692307692
C & C California,1,1,4,4,44.0,17.42399992607534,0.3959999983198941,1.0
Sassybax,1,7,39,39,1807.0,871.5800011232495,0.4823353631008575,0.3333333333333333
Flying Tomato,2,9,50,50,1797.0,863.0260009421036,0.48025932161497137,0.375
ARROW,4,14,93,93,2515.929998397827,1185.662101380171,0.47126195964721357,0.22857142857142856
Ulla Popken,8,20,107,107,7390.0,3620.8030030867085,0.489959810972491,0.1935483870967742
HOTmilk,2,7,37,37,1131.1499977111816,609.9909468823776,0.539266187611422,0.08333333333333333
Timeteo,2,2,12,12,320.0,155.35999968647957,0.48549999902024865,0.25
Seven7,5,19,100,100,4660.0,2228.673003061209,0.47825600924060274,0.3142857142857143
Fox Outdoor,3,9,54,54,1818.2500038146973,889.1157505598608,0.48899532445730326,0.23809523809523808
Second Base,1,1,4,4,132.0,56.760000206530094,0.4300000015646219,0.5
Rory Beca,2,5,26,26,1199.9099960327148,694.5596362821531,0.5788431120488943,0.3333333333333333
Torrid,9,23,147,147,5302.0,2673.935502332868,0.5043258208851128,0.20754716981132076
Rusty,5,32,219,219,8094.860023498535,3692.977600740323,0.45621265717010473,0.3088235294117647
626 BLUE,1,2,12,12,353.5,170.19499981869012,0.4814568594588122,1.0
Lucky Brand,10,172,1022,1023,55852.360136032104,26860.385500337354,0.4809176449288287,0.2794871794871795
FOXFIRE,1,6,41,41,1396.7599830627441,843.2722314789913,0.603734529700591,0.2222222222222222
Paul Malone,1,14,110,110,4358.200119018555,2628.498475820368,0.603115599109362,0.24390243902439024
Royal Robbins,7,24,154,154,9159.16994857788,4887.56381347206,0.5336251910284664,0.2413793103448276
Charter Club,3,3,16,16,341.6900005340576,152.21128950319718,0.4454660343155862,0.0
Hot Chillys,7,34,178,178,5320.560010910034,2844.4548916650056,0.5346156956847268,0.29310344827586204
Eddie Bauer,14,67,405,405,19830.389790534973,10231.28325640298,0.5159395939502087,0.3359375
House of Cheviot,2,2,21,21,544.1500129699707,285.0464566665918,0.5238380039923334,0.1111111111111111
The North Face,4,36,261,261,93710.13998413086,51665.282769241065,0.551330760769221,0.3372093023255814
Aqua Sphere,2,4,18,18,968.049976348877,533.1529352543869,0.5507493913333283,0.2222222222222222
TYR,1,33,219,219,7814.8300132751465,4005.082866378878,0.5124977586940976,0.23529411764705882
Suzi Chin,1,8,46,46,3828.3500061035156,2122.3179050371696,0.5543688277335068,0.3333333333333333
Caterpillar,5,16,100,100,3232.5500469207764,1660.3017920463867,0.5136198258176813,0.3055555555555556
Affliction,6,23,152,152,12301.219860076904,5766.296856097673,0.4687581330703591,0.31666666666666665
Funfash,4,20,109,109,3509.2401123046875,1850.5647411179448,0.5273405871057907,0.358974358974359
Nirvana,1,1,4,4,89.9800033569336,36.98178124025583,0.41099999845027924,0.5
Guide Gear,8,32,200,200,5010.390068054199,2582.7089276558854,0.5154706305449166,0.32098765432098764
COCO,2,2,10,10,334.92001152038574,183.90580566854848,0.5491036645845648,0.5
MANGO,9,55,316,316,10666.480209350586,5697.351597375992,0.5341360491515755,0.29292929292929293
U.S. Polo Assn.,7,66,442,443,10901.740055084229,5239.698690647547,0.48062957511116916,0.21621621621621623
Blue Banana,5,11,86,86,3239.4200592041016,1620.3578628431992,0.5001999843272279,0.3333333333333333
Beach Rays,1,4,27,27,624.950008392334,258.1026526153147,0.41299727842115946,0.3
