department,category,products,orders,customers,items,gross_sales_value,net_sales_value,net_profit_value,net_margin_rate,returned_items,observed_return_rate,cancellation_rate
Men,Shorts,937,6331,6027,6538,329697.82090091705,249301.520673275,124371.0407488631,0.4988779868369075,638,0.2746448557899268,0.1517283572958091
Women,Fashion Hoodies & Sweatshirts,890,4966,4769,5106,250691.33043766022,188903.96033000946,100135.9358037227,0.5300891290409596,491,0.2721729490022173,0.1498237367802585
Women,Shorts,821,4576,4402,4691,195270.3305325508,147120.5303797722,73468.61648933537,0.49937705023007906,431,0.269375,0.15433809422298017
Men,Fashion Hoodies & Sweatshirts,970,6537,6220,6749,393349.7901163101,293833.1101074219,132027.28854887772,0.4493274719809831,681,0.2833957553058677,0.150392650763076
Women,Skirts,365,2041,1997,2053,107507.1401977539,79024.81014680862,47672.64816782107,0.6032617867636384,227,0.30634278002699056,0.14661471018022407
Women,Blazers & Jackets,558,3081,3009,3128,289212.03091287613,217285.41073560715,134818.71916732308,0.6204683448875014,287,0.26549491211840887,0.1432225063938619
Women,Socks & Hosiery,661,3758,3653,3832,63335.719869852066,47159.469906806946,28182.410622006195,0.5975981213889424,341,0.26130268199233714,0.16022964509394572
Women,Leggings,563,3042,2969,3078,82501.81982040405,60910.5398516655,24433.010559470058,0.4011294370230734,296,0.27715355805243447,0.15042235217673813
Men,Jeans,1116,7522,7073,7858,793690.990398407,591181.0702400208,276793.78991771897,0.46820475798614475,785,0.27896233120113717,0.152074319165182
Men,Sweaters,999,6666,6339,6887,528602.7103013992,395699.1202392578,197607.8727762133,0.49938921435238603,743,0.3036371066612178,0.143023086975461
Women,Sweaters,734,3992,3850,4072,296427.8098888397,222948.64998149872,123038.74978241454,0.5518703512787579,395,0.27603074772886094,0.15545186640471512
Women,Swim,892,4874,4676,5000,326684.61023807526,247648.8901910782,143350.52605087706,0.5788458245876743,507,0.2848314606741573,0.1468
Women,Maternity,892,4919,4709,5031,256098.36949968338,196081.96963977814,109466.22500655887,0.5582676735023577,456,0.27223880597014927,0.14470284237726097
Men,Suits & Sport Coats,738,4943,4757,5054,630128.4292964935,469628.38950252533,280451.55733942974,0.5971776059716289,508,0.28364042434394193,0.15472892758211318
Women,Pants & Capris,612,3357,3252,3415,186771.19084358215,140288.34058761597,66409.00975718163,0.4733751178395785,360,0.2962962962962963,0.1431918008784773
Women,Jeans,878,4917,4736,5040,477726.7513256073,357111.6009979248,163925.80774353386,0.45903243491797524,490,0.27267668336115747,0.14623015873015874
Men,Swim,906,6067,5776,6269,311620.0706624985,232701.43051719666,93047.1692466187,0.3998564557158685,621,0.2834322227293473,0.15520816717179772
Women,Active,679,3663,3560,3743,198928.36008000374,150159.1501171589,87221.97721676713,0.5808635514300248,373,0.2882534775888717,0.14800961795351322
Men,Active,752,5025,4827,5167,252124.71990203857,187670.45991706848,108995.05307950507,0.5807789522531673,520,0.28062601187263897,0.15366750532223727
Women,Outerwear & Coats,589,3182,3096,3226,444765.3298778534,331322.1998081207,182097.24356989085,0.5496077343303564,329,0.28986784140969163,0.15375077495350278
Men,Outerwear & Coats,826,5545,5308,5690,883847.6291751862,664594.3593254089,371425.01492237684,0.5588747627942385,591,0.297583081570997,0.15184534270650263
Men,Socks,905,6051,5775,6229,128289.98006463051,97387.00004982948,38656.4662392008,0.3969366159694996,635,0.2950743494423792,0.14801733825654198
Women,Clothing Sets,37,200,200,200,18386.82004547119,13514.74002456665,5081.870210174956,0.37602426690689567,21,0.28,0.165
Men,Underwear,1086,7160,6741,7438,201160.110227108,151950.7102022171,80499.78812212942,0.5297756622196745,728,0.2802155504234026,0.14869588599085776
Men,Pants,1041,7004,6646,7237,432923.94143772125,324036.0710439682,175395.31156694147,0.5412832929428472,722,0.28810853950518756,0.15572751139975127
Women,Jumpsuits & Rompers,162,928,924,931,41084.38010978699,31600.580081939697,14844.157147404112,0.4697431853755057,116,0.3483483483483483,0.1288936627282492
Men,Sleep & Lounge,939,6329,5992,6522,335842.03087615967,250527.84065055847,150185.26170637074,0.5994753370179418,642,0.28444838280903856,0.14934069303894512
Women,Intimates,2353,12454,11234,13328,452639.71067261696,337220.44052553177,158087.59732939862,0.4687960109506749,1365,0.28895004233700256,0.1522358943577431
Men,Tops & Tees,1082,7228,6816,7489,318192.6211743355,239994.87088632584,105256.01860444923,0.4385761171300365,781,0.2950510011333585,0.13873681399385765
Women,Sleep & Lounge,828,4657,4476,4764,232272.0004503727,174915.12033081055,69770.37959765861,0.39888135151326226,486,0.2898032200357782,0.14714525608732157
Women,Accessories,739,4198,4051,4287,189245.4898638837,141897.3999286443,85027.69301116874,0.5992195280105659,425,0.2883310719131615,0.14998833683228366
Women,Plus,756,4208,4060,4300,167043.86027753353,125529.79023993015,62728.56298759296,0.4997105696400617,419,0.27243172951885564,0.14906976744186046
Men,Accessories,819,5520,5290,5659,234603.87993597984,175951.96992969513,105354.56037978885,0.5987688596034771,563,0.28946015424164523,0.15197031277610884
Women,Dresses,953,5439,5181,5588,461172.0212774277,346260.0709133148,190279.69130864606,0.5495282514289151,546,0.2884310618066561,0.14960629921259844
Women,Tops & Tees,780,4167,4028,4242,167060.66046881676,126729.24033331871,56033.248993546666,0.44214933227856507,422,0.27225806451612905,0.14474304573314475
Women,Suits,187,1014,1004,1021,117435.2401714325,88440.65018081665,35226.739122468025,0.39830936396834554,100,0.2777777777777778,0.13809990205680706
