segment_type,segment_value,items,eligible_items,returned_items,returned_value,observed_return_rate
Category,Underwear,7438,2598,728,19743.499997615814,0.2802155504234026
Category,Pants,7237,2506,722,41672.66014671326,0.28810853950518756
Category,Jumpsuits & Rompers,931,333,116,4915.100018501282,0.3483483483483483
Category,Sleep & Lounge,11286,3934,1128,56088.71014499664,0.2867310625317743
Category,Intimates,13328,4724,1365,47124.01005887985,0.28895004233700256
Category,Tops & Tees,11731,4197,1203,48514.10016679764,0.28663330950679056
Category,Accessories,9946,3419,988,41100.94994226843,0.2889733840304182
Category,Plus,4300,1538,419,16647.160021305084,0.27243172951885564
Category,Dresses,5588,1893,546,45658.15009975433,0.2884310618066561
Category,Suits,1021,360,100,12178.919988632202,0.2777777777777778
Category,Shorts,11229,3923,1069,48854.22017145157,0.2724955391282182
Category,Fashion Hoodies & Sweatshirts,11855,4207,1172,64046.810066223145,0.27858331352507726
Category,Skirts,2053,741,227,12696.090008735657,0.30634278002699056
Category,Blazers & Jackets,3128,1081,287,30757.050097465515,0.26549491211840887
Category,Socks & Hosiery,3832,1305,341,5854.109992027283,0.26130268199233714
Category,Leggings,3078,1068,296,8401.410000801086,0.27715355805243447
Category,Jeans,12898,4611,1275,126928.27018737793,0.27651268705270005
Category,Sweaters,10959,3878,1138,84109.67999267578,0.29345023207839094
Category,Swim,11269,3971,1128,62660.64004611969,0.2840594308738353
Category,Maternity,5031,1675,456,22360.56994533539,0.27223880597014927
Category,Suits & Sport Coats,5054,1791,508,61375.559856414795,0.28364042434394193
Category,Pants & Capris,3415,1215,360,20248.720120429993,0.2962962962962963
Category,Active,8910,3147,893,48012.2999958992,0.28376231331426754
Category,Outerwear & Coats,8916,3121,920,132444.719953537,0.29477731496315285
Category,Socks,6229,2152,635,12025.640002727509,0.2950743494423792
Country,Brasil,26098,8943,2501,149696.9900763221,0.279660069327966
Country,Spain,7416,2627,800,47959.65000844002,0.30452988199467074
Country,South Korea,9573,3313,969,63818.520063877106,0.2924841533353456
Country,France,8440,2935,831,50219.96007347107,0.2831345826235094
Country,Poland,450,147,42,2251.1900177001953,0.2857142857142857
Country,United States,40376,14197,4094,237822.57022857666,0.2883707825596957
Country,Australia,3992,1461,394,23723.409973859787,0.26967830253251196
Country,Belgium,2268,763,205,12803.430018424988,0.2686762778505898
Country,China,61433,21729,6203,371971.78044177964,0.2854710294997469
Country,Germany,7826,2765,745,40664.720054626465,0.2694394213381555
Country,United Kingdom,8453,2957,788,49272.1000109911,0.26648630368616844
Country,Japan,4508,1613,467,25747.550063848495,0.28952262864228145
Age Band,18-24,39780,13962,3860,232879.19000673294,0.2764646898725111
Age Band,35-44,30272,10649,3025,182952.2700596042,0.28406423138322845
Age Band,45-54,30580,10657,3106,184232.44030179456,0.29145162803790936
Age Band,65+,18431,6559,1859,108741.23016476631,0.2834273517304467
Age Band,25-34,30808,10785,3004,181841.2302145958,0.2785350023180343
Age Band,55-64,30991,10851,3187,185519.76028442383,0.2937056492489172
Acquisition Source,Organic,27053,9339,2651,160244.39017703012,0.2838633686690224
Acquisition Source,Email,9205,3205,872,52655.110060214996,0.2720748829953198
Acquisition Source,Search,126353,44520,12707,756419.6907195039,0.28542228212039533
Acquisition Source,Facebook,10968,3865,1102,67456.10999941826,0.2851228978007762
Acquisition Source,Display,7283,2534,709,39390.82007575035,0.2797947908445146
