customer_id,recency_days,order_count,net_sales_value,cluster,segment
66503,104,4,213.05999755859375,2,Champions
74713,62,2,227.14999771118164,2,Champions
84699,167,1,59.5,1,Hibernating
94002,561,2,263.9600067138672,3,At-Risk
2979,129,2,9.949999809265137,1,Hibernating
6154,32,1,132.5999984741211,0,Loyal
10754,485,1,90.0,3,At-Risk
16639,181,2,93.0,3,At-Risk
30554,136,1,15.640000343322754,1,Hibernating
50277,95,2,86.98999977111816,2,Champions
58160,619,2,394.89000129699707,3,At-Risk
58449,133,1,89.0,3,At-Risk
64681,2,1,94.45000076293945,0,Loyal
72897,548,3,53.9900016784668,2,Champions
75358,8,4,313.5,2,Champions
86666,521,2,45.989999771118164,1,Hibernating
95655,306,2,13.0,1,Hibernating
3691,5,2,216.80000495910645,0,Loyal
4192,198,1,59.5,1,Hibernating
13182,300,1,68.9900016784668,3,At-Risk
14953,668,2,353.8400001525879,3,At-Risk
34715,1184,1,21.989999771118164,1,Hibernating
37339,251,1,41.989999771118164,1,Hibernating
42836,710,2,336.9199924468994,3,At-Risk
44462,168,2,50.0,1,Hibernating
48214,85,1,48.0,0,Loyal
68939,255,1,53.209999084472656,1,Hibernating
73636,6,1,29.989999771118164,0,Loyal
77337,456,1,29.950000762939453,1,Hibernating
81426,772,1,85.0,3,At-Risk
89413,247,3,87.42999935150146,2,Champions
714,228,3,463.88999366760254,2,Champions
4648,914,1,202.0,3,At-Risk
11824,51,4,201.73999977111816,2,Champions
25554,1353,1,17.5,1,Hibernating
35635,1440,1,88.0,3,At-Risk
44701,1096,3,495.45000076293945,2,Champions
72558,61,1,30.40000009536743,0,Loyal
36571,375,3,303.8999938964843,2,Champions
52181,259,4,273.95000076293945,2,Champions
71525,105,1,74.98999977111816,0,Loyal
14356,517,2,89.98999977111816,3,At-Risk
23707,803,1,18.0,1,Hibernating
33254,1458,1,69.5,3,At-Risk
34358,40,4,345.9499969482422,2,Champions
52695,210,4,54.989999771118164,2,Champions
55273,253,1,32.0,1,Hibernating
65806,749,1,49.94000053405762,1,Hibernating
72422,141,2,144.48999786376953,2,Champions
73726,39,2,54.0,0,Loyal
74081,28,1,278.8799991607666,0,Loyal
74218,169,1,32.9900016784668,1,Hibernating
92964,54,2,336.77999687194824,2,Champions
1069,412,2,70.86000061035156,3,At-Risk
8517,77,1,37.7400016784668,0,Loyal
10525,302,4,187.0,2,Champions
36639,324,4,524.5900039672852,2,Champions
40841,18,2,129.0,0,Loyal
55080,911,1,39.5,1,Hibernating
56553,838,1,52.0,1,Hibernating
56876,681,1,135.9900016784668,3,At-Risk
64565,70,2,194.55000114440918,2,Champions
67175,6,3,61.989999771118164,0,Loyal
73844,104,2,87.94999980926514,2,Champions
77041,298,1,94.5,3,At-Risk
90350,45,2,177.4699993133545,2,Champions
90644,281,1,224.97999954223633,3,At-Risk
3701,39,2,231.38999938964844,2,Champions
21637,70,4,134.98999786376953,2,Champions
33115,201,4,169.9300022125244,2,Champions
41992,37,4,74.98999977111816,2,Champions
47807,384,1,42.9900016784668,1,Hibernating
55010,17,1,89.94999694824217,0,Loyal
59672,1136,1,10.0,1,Hibernating
85280,93,1,3.990000009536743,1,Hibernating
8453,248,2,220.0,3,At-Risk
32905,355,1,15.0,1,Hibernating
35071,38,2,109.5,0,Loyal
38351,1004,2,124.4900016784668,3,At-Risk
63913,898,1,89.98999786376953,3,At-Risk
93364,161,2,46.0,1,Hibernating
99836,333,2,500.25,3,At-Risk
4658,162,1,368.44001388549805,3,At-Risk
6488,234,3,490.95999908447266,2,Champions
7033,284,2,72.12000274658203,3,At-Risk
7201,1098,1,34.9900016784668,1,Hibernating
13042,787,1,60.040000915527344,1,Hibernating
25494,918,1,58.0,1,Hibernating
