order_item_id,return_probability,risk_band
3035,0.4902824131886024,Low
3052,0.486535034182869,Low
4134,0.4696549879103616,Low
4827,0.5008076745455209,Medium
6020,0.4992688694434608,Medium
11303,0.5004731218266154,Medium
15446,0.4765933777439096,Low
22715,0.4997156879461096,Medium
22730,0.5117090287047434,High
25511,0.4945709758980703,Low
26598,0.48333446238227207,Low
27042,0.5017046919411067,Medium
27120,0.5091467145492289,High
27461,0.493338594463044,Low
29706,0.4991038034813451,Medium
32672,0.47930228658214097,Low
32964,0.4853409579950483,Low
33834,0.5013244782001285,Medium
35574,0.5032978883851715,Medium
37260,0.4905998840249852,Low
39228,0.5008497501908015,Medium
40732,0.5014975710211592,Medium
43964,0.49990224883700113,Medium
45107,0.4779800656149885,Low
45158,0.5021316890243818,Medium
45221,0.49291337600486795,Low
46397,0.48125830409153375,Low
46893,0.4691133893308802,Low
49195,0.498818241211189,Medium
49865,0.4948757282133447,Low
52104,0.4907178996754618,Low
54079,0.4787509176151479,Low
54696,0.5305861297657215,High
56618,0.48222590009375244,Low
58274,0.48784480840625805,Low
58363,0.4864126089395238,Low
62877,0.5083003831785604,High
68846,0.5086025964046502,High
69106,0.5075013932859982,High
69928,0.4946480655204309,Low
70703,0.5022736465254535,Medium
73436,0.49346182768998115,Low
76360,0.5153757814570278,High
77163,0.49307663701907267,Low
77933,0.5151849796738184,High
79017,0.4918662342838327,Low
79500,0.48293025979409415,Low
81993,0.5074643404565932,High
83330,0.5091893497760246,High
84365,0.5002980044676055,Medium
87793,0.5018903826922009,Medium
89448,0.5026778598691222,Medium
93745,0.49265633112303503,Low
95450,0.5009781336453758,Medium
96216,0.5293903841476914,High
96353,0.511186820267963,High
96388,0.5006061172394959,Medium
101639,0.49428102535208684,Low
103124,0.5013157313275086,Medium
104289,0.5009329434105351,Medium
104762,0.5020620945588011,Medium
105659,0.5092279606509831,High
109911,0.5013050394070625,Medium
109934,0.4879102587299774,Low
111756,0.49976046541104163,Medium
112977,0.48536189162143567,Low
113941,0.4899285435381942,Low
118005,0.4835037983808094,Low
121424,0.5011826338224381,Medium
121454,0.5117049690654287,High
121579,0.5010791133570388,Medium
125102,0.5105184511291836,High
127163,0.4782069314276468,Low
127911,0.49242492895544643,Low
128949,0.49072468950158216,Low
129875,0.5311174363020353,High
130391,0.48175371663802435,Low
133328,0.5010972274555997,Medium
133655,0.5013922342331318,Medium
134619,0.5009755587250434,Medium
136053,0.47837436075901113,Low
136497,0.4770956260390202,Low
136565,0.49952753675700473,Medium
137383,0.48796924370768185,Low
137878,0.4957018534351695,Medium
138763,0.48951062079157276,Low
141219,0.5010784234825881,Medium
142520,0.4827933579587727,Low
145359,0.4837327682517827,Low
151608,0.4994811338207554,Medium
154528,0.48081159871456586,Low
154939,0.5012005142969014,Medium
155600,0.49236259386125153,Low
155658,0.5079924161538757,High
157409,0.4997662062264888,Medium
158675,0.5085899068031295,High
160740,0.5018116015214324,Medium
163030,0.4996206384518329,Medium
163547,0.4882422494374737,Low
171308,0.4870270459034155,Low
171745,0.5274730961796427,High
173224,0.5010655054229293,Medium
173269,0.5114390595263417,High
174245,0.5011265659118761,Medium
175077,0.48663382588897397,Low
175350,0.48343886742482706,Low
175640,0.5071521231629529,High
177743,0.5092378591912726,High
180302,0.49884708354121154,Medium
2010,0.5001501387690731,Medium
151879,0.5101978857471432,High
130515,0.5083944476291421,High
155832,0.5094633917733143,High
169781,0.5075645159080274,High
2802,0.5085028730270246,High
53307,0.490212739209213,Low
78360,0.48244303201220495,Low
19435,0.475584349598766,Low
25689,0.4772076970843289,Low
88435,0.4763195637621489,Low
13177,0.5075096997477948,High
163244,0.49946478198219296,Medium
21813,0.5078995460289649,High
62940,0.511474042419158,High
73217,0.4770748010767337,Low
127832,0.47806127754614114,Low
128709,0.47747437702165685,Low
140264,0.4757587376858768,Low
155973,0.5089463384512521,High
164615,0.5105931562493582,High
178840,0.4797688757482427,Low
8005,0.5118506840153709,High
16198,0.47887588923538954,Low
32243,0.47921464010238957,Low
88672,0.5084225161887848,High
98363,0.5104195882594554,High
150854,0.476239881103969,Low
163072,0.4757693750258545,Low
177099,0.5071779275389113,High
86565,0.5002559930001987,Medium
138900,0.5007957124549723,Medium
175147,0.5052802881976126,High
180497,0.5078802664657222,High
126776,0.5073300113580391,High
103049,0.5005078513167951,Medium
103942,0.5031444671385371,Medium
121265,0.4989981756915647,Medium
13120,0.5001671626894529,Medium
13184,0.5000994470738908,Medium
42130,0.5034267544499286,Medium
122430,0.5033148837613877,Medium
152737,0.5017582159208,Medium
50010,0.5005462238456043,Medium
119604,0.4938506194464035,Low
123701,0.4930927628551886,Low
31316,0.481210941395252,Low
2923,0.4880518511516922,Low
6268,0.4865441529235109,Low
14111,0.4942419746390467,Low
14621,0.5124453164683102,High
16914,0.4802819941234759,Low
19607,0.4800551048737525,Low
25530,0.5112903678806834,High
28400,0.4921268191144866,Low
39346,0.49688654114890835,Medium
42842,0.4900737121459121,Low
75671,0.4760409599244371,Low
76837,0.4850296319254846,Low
97308,0.49716048232656374,Medium
116047,0.4853911837935853,Low
118374,0.4865802292987745,Low
122563,0.48852073885685143,Low
133922,0.48628900512719714,Low
140484,0.48599438387700367,Low
145181,0.5127007429939489,High
146082,0.49175893625691347,Low
149091,0.48699352520853245,Low
155571,0.48009717979237765,Low
159022,0.4857974520571514,Low
170449,0.49181446078682284,Low
14893,0.5136155512226747,High
26781,0.4926811354519761,Low
32046,0.47978593349996523,Low
50319,0.485097607423665,Low
92405,0.4865984945351172,Low
115934,0.4850893459603125,Low
146857,0.48430692312950885,Low
76381,0.5020068597159092,Medium
76526,0.502286813873796,Medium
172729,0.5052944418020271,High
169850,0.5050265869958003,High
34192,0.49909934025821945,Medium
158686,0.4996129666039025,Medium
137381,0.508500097104359,High
151283,0.5084706570758132,High
167518,0.5100902732717921,High
81601,0.5106003263739706,High
105723,0.5092967867379995,High
48665,0.4954035344926973,Medium
90369,0.4987968969167127,Medium
99870,0.5017122903826803,Medium
86114,0.4934430577056055,Low
43779,0.49577939911791974,Medium
49570,0.49446652743778485,Low
67684,0.4927606263242114,Low
34413,0.4950803093980974,Medium
5392,0.5076403775825912,High
36847,0.507893365998219,High
37567,0.5070063723948441,High
96896,0.5071278776521735,High
122936,0.5059064803754874,High
145827,0.5087829927472834,High
8943,0.5079404645193668,High
34471,0.5088013379948179,High
35020,0.5088180154661682,High
110447,0.5077002930802669,High
13640,0.5107710829350831,High
34549,0.5082761769989574,High
164580,0.5103490359870423,High
181,0.4972906517014048,Medium
5535,0.491210421930142,Low
9753,0.49743332068214086,Medium
16507,0.49972151627162487,Medium
18083,0.5196737434879597,High
18604,0.5297238207477826,High
19152,0.4940612153165291,Low
20169,0.4803594910450601,Low
21263,0.512338093086487,High
21860,0.49097862586370317,Low
25871,0.5012802793249046,Medium
28702,0.4845540442731624,Low
28737,0.5006125703192025,Medium
35320,0.49976162716232586,Medium
43543,0.48625342472495187,Low
51341,0.4978081772130991,Medium
52868,0.5024813144735882,Medium
55108,0.48811202615140636,Low
62161,0.5099026103951468,High
70610,0.4992247364544458,Medium
74228,0.5026958621593867,Medium
83737,0.4954661912643956,Medium
87018,0.5101837809429796,High
95860,0.4919904612889242,Low
102385,0.5055760907432476,High
126763,0.5003737375969494,Medium
128654,0.5109886842165716,High
148069,0.4913237761054518,Low
160164,0.5016780950482163,Medium
170912,0.4924955339185179,Low
172575,0.4999140195629819,Medium
178959,0.4842955169233845,Low
35224,0.5020878296884491,Medium
62043,0.4974119964657169,Medium
70042,0.4991929669639545,Medium
90577,0.5132275669335876,High
99016,0.5002935136301221,Medium
114181,0.500410294345392,Medium
144529,0.4831805367697415,Low
144939,0.4916892916115314,Low
162830,0.49101288685747274,Low
172568,0.5015374544818512,Medium
180377,0.4998208143001772,Medium
2362,0.4939102659070273,Low
12786,0.48576798249748476,Low
37024,0.4985987296758784,Medium
49280,0.49453773997889394,Low
60793,0.496816488698029,Medium
63217,0.49993070975667026,Medium
89636,0.49490634925730104,Medium
89881,0.4938652318178074,Low
94831,0.4962509014588292,Medium
112004,0.4944125628563448,Low
116799,0.4898111147757539,Low
135100,0.4957498011661181,Medium
139557,0.4957813699692003,Medium
145752,0.49461360086571277,Low
1454,0.4934546121478108,Low
47991,0.48760771498988154,Low
76241,0.4876640388826524,Low
110071,0.49661318668081383,Medium
148282,0.48679841162327714,Low
152353,0.49467502950138864,Low
165261,0.502809216656426,Medium
166066,0.4939495029694232,Low
927,0.4938637660340401,Low
2192,0.487738293788781,Low
2680,0.5010665013442165,Medium
2749,0.5082654780453312,High
2836,0.5045385646078749,Medium
3131,0.4942592609150674,Low
4126,0.4944629531788807,Low
7810,0.5005258710751186,Medium
7850,0.48634654281491013,Low
11636,0.4988525381978477,Medium
12408,0.5086914483633885,High
14804,0.48627854045747243,Low
16804,0.5059651441817019,High
20124,0.5154155319135221,High
21218,0.5075316808525312,High
21562,0.4994958989124398,Medium
21782,0.5012377343378603,Medium
21964,0.487022399550324,Low
22897,0.5108521146707923,High
23777,0.5082813945204574,High
25433,0.48641972289871105,Low
29267,0.49447121249447845,Low
33939,0.508582377745409,High
34651,0.5086757365317227,High
34722,0.5002929114905824,Medium
36791,0.49905973236162565,Medium
39628,0.48484387011372937,Low
40923,0.5006304929781069,Medium
41839,0.4853446104424927,Low
42765,0.5066243753026849,High
42936,0.5091711028524397,High
44085,0.500136650519851,Medium
44104,0.4716761408227525,Low
44194,0.5073164982262798,High
45501,0.49162874338471635,Low
47375,0.499907283139387,Medium
47751,0.49455838700258353,Low
48850,0.4929950974569747,Low
50214,0.506693124642843,High
52806,0.4968078713153925,Medium
55015,0.4854452852732581,Low
57257,0.4848870895061812,Low
57779,0.47905782675387987,Low
59246,0.5086750970354822,High
59459,0.5098650185004606,High
61731,0.48619814287528534,Low
63770,0.5008081628656972,Medium
64151,0.4855794678733668,Low
67404,0.5077336382384238,High
69776,0.49278414679660676,Low
70611,0.5054482257583555,High
71419,0.5142364390187389,High
71633,0.5064872746950705,High
72466,0.47950118423331467,Low
78918,0.49320089624482655,Low
84041,0.4858157208293027,Low
85202,0.4766908789014744,Low
85598,0.4782232532969002,Low
86298,0.5081083427114069,High
86852,0.5121690541188714,High
88423,0.5056907297769371,High
88609,0.4886788352633327,Low
88740,0.4950056836045699,Medium
89640,0.5153301684938103,High
90902,0.48542373197955685,Low
92749,0.48184840974898147,Low
95504,0.4980132442600505,Medium
96961,0.4919227591792678,Low
97127,0.49896277347789236,Medium
97525,0.5086040356484821,High
97603,0.48667962694028055,Low
97756,0.5006059163279079,Medium
98220,0.48677617684380675,Low
101392,0.5003999824769297,Medium
101551,0.4934212605915869,Low
104948,0.5090237867873006,High
105638,0.4950321229708118,Medium
105884,0.4963557563096588,Medium
108210,0.48965290769647024,Low
109089,0.4826399948066365,Low
109615,0.5015997258587558,Medium
110587,0.500965571670186,Medium
111440,0.507173782703797,High
113362,0.50750702929988,High
113771,0.4861243605474833,Low
115290,0.49907166027610905,Medium
115396,0.5010395069743955,Medium
117563,0.48537654602420766,Low
118461,0.5015641271566923,Medium
120382,0.5059322501178557,High
122123,0.49862999273006786,Medium
123760,0.48500233705126544,Low
124439,0.5066542043501439,High
127026,0.5058836233413305,High
129671,0.4936543855825804,Low
129765,0.49356141311015317,Low
130120,0.5140744440001146,High
131895,0.4963486484269869,Medium
132243,0.48570122326927406,Low
132293,0.5059061911621374,High
132826,0.49899535931786754,Medium
134643,0.5083579285720778,High
134932,0.4867990088715557,Low
137513,0.4990143272677558,Medium
140085,0.498145112886156,Medium
140667,0.48703400911746464,Low
140952,0.5007127256455371,Medium
141035,0.5008813730765963,Medium
141396,0.48898971231125754,Low
142013,0.5072769991584045,High
144585,0.5064894734703118,High
